Catégorie de trafic,Source de trafic,Sessions sur le site,Vues de page,Visiteurs uniques
Recherche naturelle,Google,483,,391
Direct,Direct,343,,318
Recherche naturelle,Bing,21,,13
Recherche naturelle,Yahoo,9,,4
Recherche naturelle,DuckDuckGo,3,,2
Site référent,bottin.fr,2,,1
Plateformes d'IA,ChatGPT,2,,2
Plateformes d'IA,Perplexity AI,1,,1
Site référent,consultation.avocat.fr,1,,1
Site référent,Google,1,,1
Site référent,webmail.ks6.kalanda.net,1,,1
Site référent,infraadmin-edcgatineau.ssc-spc.gc.ca,1,,1
Site référent,search.lilo.org,1,,1
Réseaux sociaux naturels,Facebook,1,,1
